MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,197812,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197813,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197901,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197902,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197903,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197904,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197905,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197906,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197907,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197908,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197909,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197910,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197911,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197912,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197913,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198001,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198002,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198003,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198004,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198005,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198006,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
